newuser001,Test1234
newuser002,Test1234
newuser003,Test1234
newuser004,Test1234
newuser005,Test1234
newuser006,Test1234
newuser007,Test1234
newuser008,Test1234
newuser009,Test1234
newuser010,Test1234
newuser011,Test1234
newuser012,Test1234
newuser013,Test1234
newuser014,Test1234
newuser015,Test1234
newuser016,Test1234
newuser017,Test1234
newuser018,Test1234
newuser019,Test1234
newuser020,Test1234
newuser021,Test1234
newuser022,Test1234
newuser023,Test1234
newuser024,Test1234
newuser025,Test1234
newuser026,Test1234
newuser027,Test1234
newuser028,Test1234
newuser029,Test1234
newuser030,Test1234
newuser031,Test1234
newuser032,Test1234
newuser033,Test1234
newuser034,Test1234
newuser035,Test1234
newuser036,Test1234
newuser037,Test1234
newuser038,Test1234
newuser039,Test1234
newuser040,Test1234
newuser041,Test1234
newuser042,Test1234
newuser043,Test1234
newuser044,Test1234
newuser045,Test1234
newuser046,Test1234
newuser047,Test1234
newuser048,Test1234
newuser049,Test1234
newuser050,Test1234
 {                                                                                                                      ▶ Todo
       "name": "压测秒杀-${__time(yyyyMMdd-HHmmss)}",
       "price": 9.9,
       "origPrice": 99.9,
       "stockTotal": 10000,
       "startAt": ${__time(,startTime)},
       "endAt": ${__longSum(${startTime},3600000)},
       "productId": 1,
       "roomId": 1
}
